"StartDevice","EndDevice"
"lax30-0100-0001-01sw","by4-0100-0001-01sw"
"ibr02.fra23","ibr02.par21"
"icr01.ams30","ams04-96cbe-1a"
"ibr01.cys04","ibr01.dsm05"
"phx70-0100-0002-01sw","sn6-0100-0002-01sw"
"phx70-0100-0002-01sw","rwa04.phx70"
"ath01-96cbe-1a","ath01-96cbe-1b"
"rwa03.vie","prg01-96cbe-1b"
"icr03.ams21","ibr01.ams21"
"ier01.par31","icr03.par21"
"ibr02.tyo30","ibr02.tyo31"
"mwh01-0100-0002-01sw","icr02.mwh01"
"tyo79-0100-0002-01sw","tyo30-0100-0002-01sw"
"ier02.bl33","icr04.bl7"
"hkg20-0100-0001-01sw","tyo31-0100-0001-01sw"
"ibr01.jga20","rwa03.jga20"
"lax31-0100-0001-01sw","lax31-0100-0002-01sw"
"by21-0100-0001-01sw","lax31-0100-0001-01sw"
"icr01.sg2","ier01.sg1"
"ibr02.fra23","ibr02.vie20"
"sn6-0100-0001-01sw","dsm05-0100-0003-01sw"
"ibr01.cpq02","ibr01.sao30"
"ibr01.par30","icr02.par30"
"icr01.ams30","ams30-0100-0002-01sw"
"ibr03.bl20","icr01.bl20"
"ibr02.cwl20","icr01.cwl20"
"ibr04.dsm05","ibr01.dsm05"
"ibr03.bl7","ibr03.bl20"
"ibr02.hkg20","ibr02.tyo31"
"ibr01.ams30","ibr01.dub07"
"sel21-0100-0001-01sw","sel21-0100-0002-01sw"
"ibr01.fll30","ibr01.mia"
"ier02.mex31","rwa02.qro21"
"ier04.lon04","icr02.lon24"
"icr03.lon24","ibr01.lon24"
"ibr01.yto30","icr01.yto30"
"rwa03.bom01","ier03.bom02"
"ibr02.gvx11","ibr02.gvx01"
"ibr02.bjb","rwa04.bjb"
"icr07.ams06","ams06-0100-0003-01sw"
"ier02.mex31","rwa04.qro21"
"ibr02.dsm05","icr01.dsm05"
"ibr02.ams30","ibr02.dub07"
"ibr02.osa31","ibr02.osa20"
"bio30-0100-0001-01sw","par30-0100-0001-01sw"
"icr05.cys04","ibr01.cys04"
"ibr02.atl31","ibr02.sn6"
"ams21-0100-0002-01sw","ams30-0100-0002-01sw"
"ibr02.dub08","icr01.dub08"
